location_name,target_lat,target_lng,analysis_radius_km,nearby_construction_count,weighted_construction_risk,nearby_sinkhole_count,weighted_sinkhole_risk,avg_daily_visitors,total_daily_visitors,nearby_subway_stations,avg_subway_passengers,avg_rainfall,weighted_rainfall_risk,rainfall_amplification_factor,ongoing_construction_count,recent_sinkhole_count,population_density_score,total_subway_passengers,subway_congestion_risk,physical_risk_score,social_risk_score,final_risk_score,comprehensive_risk_level,comprehensive_risk_category,construction_rainfall_interaction,population_physical_interaction,subway_population_ratio,risk_density,activity_density,distance_from_center,total_infrastructure_risk,total_mobility_volume
언주역,37.5073,127.034,0.2,0,0.0,18,0.920557515444323,0.0,0,2463,18480.713763702803,0.0,0.0,1.0,0,1,0.0,45517998,0.36961427527405605,8.285017638998907,4.435371303288672,6.937641421500325,매우낮음,최저위험,0.0,0.0,45517998.0,55.207996281543,362220719.06735027,0.08149012210078561,18,45517998
여의나루역,37.5271,126.933,0.2,0,0.0,2,1.0,0.0,0,2463,25196.983759642713,0.0,0.0,1.0,0,0,0.0,62060171,0.5039396751928543,9.0,6.047276102314251,7.966546635809989,매우낮음,최저위험,0.0,0.0,62060171.0,63.39576382306345,493859149.18891466,0.059811035770992275,2,62060171
여의도역,37.5218,126.9244,0.2,0,0.0,36,0.8594087470113323,0.0,0,2463,94933.71538773853,0.0,0.0,1.0,0,0,0.0,233821741,1.8986743077547705,7.7346787231019904,22.78409169305725,13.001973262586331,낮음,하위험,0.0,0.0,233821741.0,103.46641573446361,1860694294.1251445,0.0697929079491512,36,233821741
역삼역,37.5007,127.0365,0.2,0,0.0,4,0.7496018665343458,0.0,0,2463,92066.75883069428,0.0,0.0,1.0,0,0,0.0,226760427,1.8413351766138855,6.746416798809112,22.096022119366626,12.118778661004242,낮음,하위험,0.0,0.0,226760427.0,96.43817640677028,1804502142.7339442,0.08804481813258828,4,226760427
역촌역,37.6062,126.9228,0.2,1,2.0,39,0.5792275577967824,0.0,0,2463,7821.812423873325,0.0,0.0,1.0,0,0,0.0,19265124,0.1564362484774665,29.213048020171044,1.8772349817295984,19.64551345671654,낮음,하위험,0.0,0.0,19265124.0,156.33402881073923,153306985.69391534,0.06799360264024981,40,19265124
연신내역,37.6192,126.9211,0.2,0,0.0,33,0.8378405647863918,0.0,0,2463,69469.34754364596,0.0,0.0,1.0,0,0,0.0,171103003,1.389386950872919,7.540565083077526,16.672643410475033,10.736792497666652,낮음,하위험,0.0,0.0,171103003.0,85.44067994778123,1361594435.2658699,0.07755578637342302,33,171103003
염창역,37.547,126.8749,0.2,0,0.0,5,0.5579339926423714,0.0,0,2463,31333.98335363378,0.0,0.0,1.0,0,0,0.0,77175601,0.6266796670726756,5.021405933781343,7.520156004872108,5.895968458663111,매우낮음,최저위험,0.0,0.0,77175601.0,46.91862622550686,614143919.261891,0.10492787999382988,5,77175601
영등포구청역,37.5258,126.8967,0.2,0,0.0,7,0.7447780526210835,0.0,0,2463,47977.44579780755,3.518983442433577,0.03904505198305738,1.0,0,0,0.0,118168449,0.959548915956151,7.054407941437268,11.514586991473813,8.615470608950059,매우낮음,최저위험,0.0,0.0,118168449.0,68.55973672386716,940354638.7926267,0.09091853496399893,7,118168449
영등포시장역,37.5227,126.9052,0.2,0,0.0,16,0.8390717433761187,0.0,0,2463,19805.07551766139,0.0,0.0,1.0,0,0,0.0,48779901,0.39610151035322777,7.551645690385067,4.7532181242387335,6.57219604223385,매우낮음,최저위험,0.0,0.0,48779901.0,52.29987435452541,388178118.3841644,0.08496046139234355,16,48779901
영등포역,37.5157,126.9079,0.2,0,0.0,38,0.7656931551164116,0.0,0,2463,84952.29638652051,0.0,0.0,1.0,0,0,0.0,209237506,1.6990459277304102,6.8912383960477035,20.388551132764924,11.615297853898731,낮음,하위험,0.0,0.0,209237506.0,92.43160344663333,1665059168.0060053,0.08657164662866838,38,209237506
오금역,37.5021,127.128,0.2,0,0.0,7,0.9206635732245143,0.0,0,2463,18188.96670726756,0.0,0.0,1.0,0,0,0.0,44799425,0.3637793341453512,8.285972159020629,4.365352009744215,6.913755106773883,매우낮음,최저위험,0.0,0.0,44799425.0,55.017915028494905,356502496.82123166,0.16324019112951807,7,44799425
오류동역,37.4944,126.8448,0.2,0,0.0,8,0.7711234444578298,0.0,0,2463,21724.422249289484,0.0,0.0,1.0,0,0,0.0,53507252,0.4344884449857897,6.940111000120468,5.213861339829476,6.335923619018621,매우낮음,최저위험,0.0,0.0,53507252.0,50.4196781509752,425797182.3531851,0.15146171133324965,8,53507252
오목교역,37.5245,126.8753,0.2,0,0.0,25,0.5777098319669322,0.0,0,2463,43355.180267965894,0.0,0.0,1.0,0,0,0.0,106783809,0.8671036053593179,5.1993884877023895,10.405243264311814,7.021437659515688,매우낮음,최저위험,0.0,0.0,106783809.0,55.8748255561755,849758552.226541,0.11095625264039546,25,106783809
옥수역,37.5416,127.0174,0.2,0,0.0,1,0.2,0.0,0,2463,17810.04060089322,0.0,0.0,1.0,0,0,0.0,43866130,0.35620081201786435,1.7999999999999998,4.274409744214373,2.6660434104750306,매우낮음,최저위험,0.0,0.0,43866130.0,21.2156993637338,349075571.1905841,0.04660869017683083,1,43866130
온수역,37.492,126.8238,0.2,0,0.0,0,0.0,0.0,0,2463,31130.41209906618,0.0,0.0,1.0,0,0,0.0,76674205,0.6226082419813236,0.0,7.4712989037758835,2.614954616321559,매우낮음,최저위험,0.0,0.0,76674205.0,20.809147657427335,610153936.6695658,0.17125387586853796,0,76674205
올림픽공원역,37.5163,127.131,0.2,0,0.0,5,0.8299540883606139,0.0,0,2463,22026.290702395454,0.0,0.0,1.0,0,0,0.0,54250754,0.4405258140479091,7.469586795245525,5.286309768574909,6.70543983591081,매우낮음,최저위험,0.0,0.0,54250754.0,53.360194774525645,431713783.27812064,0.16102496700822963,5,54250754
왕십리역,37.5613,127.0371,0.2,1,1.0,4,1.0,0.0,0,2463,71033.51157125457,0.0,0.0,1.0,0,0,0.0,174955539,1.4206702314250914,21.0,17.0480427771011,19.61681497198538,낮음,하위험,0.0,0.0,174955539.0,156.10565352552868,1392251942.6578436,0.05932832375855603,5,174955539
외대앞역,37.5963,127.0637,0.2,0,0.0,0,0.0,0.0,0,2463,17850.563946406823,0.0,0.0,1.0,0,0,0.0,43965939,0.35701127892813644,0.0,4.284135347137638,1.499447371498173,매우낮음,최저위험,0.0,0.0,43965939.0,11.932223054004188,349869825.9763371,0.09073329047268468,0,43965939
용답역,37.5621,127.0509,0.2,0,0.0,2,1.0,0.0,0,2463,5362.352821762079,0.0,0.0,1.0,0,0,0.0,13207475,0.10724705643524157,9.0,1.286964677222899,6.300437637028015,매우낮음,최저위험,0.0,0.0,13207475.0,50.13728967876146,105101746.6006315,0.07303266392512725,2,13207475
용두역,37.5741,127.0383,0.2,0,0.0,13,0.5883598156173139,0.0,0,2463,4553.5757206658545,3.7182133230650756,0.03996919522525992,1.0,0,0,0.0,11215457,0.0910715144133171,5.654961097583164,1.0928581729598053,4.058225073964988,매우낮음,최저위험,0.0,0.0,11215457.0,32.29432903505002,89249771.02922995,0.06077705159023042,13,11215457
