날짜,위도,경도,자치구,방문자수
20230120,37.484,126.8254,구로구,149662
20230120,37.4513,126.9246,금천구,103625
20230120,37.6789,127.0607,노원구,56276
20230120,37.6988,127.0155,도봉구,127544
20230120,37.5105,126.9627,동작구,130174
20230120,37.5554,126.9236,마포구,109711
20230120,37.6076,126.947,서대문구,7325
20230120,37.55,127.0802,서울대공원,4858
20230120,37.4764,127.008,서초구,42466
20230120,37.5483,127.0298,성동구,2607
20230120,37.5111,127.0981,송파구,26185
20230120,37.528,126.8619,양천구,116799
20230120,37.5513,126.9882,용산구,486
20230120,37.6525,126.9479,은평구,4549
20230120,37.5776,126.9769,종로구,4299
20230120,37.5656,126.9749,중구,54451
20230120,37.5898,127.0708,중랑구,51117
20230121,37.5091,127.0489,강남구,89943
20230121,37.5612,127.1321,강동구,106689
20230121,37.6589,127.009,강북구,101218
20230121,37.5694,126.835,강서구,46295
20230121,37.4445,126.9639,관악구,31097
20230121,37.5515,127.0838,광진구,90763
20230121,37.484,126.8254,구로구,139864
20230121,37.4513,126.9246,금천구,79952
20230121,37.6789,127.0607,노원구,56344
20230121,37.6988,127.0155,도봉구,128716
20230121,37.5105,126.9627,동작구,133172
20230121,37.5554,126.9236,마포구,115594
20230121,37.6076,126.947,서대문구,6752
20230121,37.55,127.0802,서울대공원,6847
20230121,37.4764,127.008,서초구,22604
20230121,37.5483,127.0298,성동구,3005
20230121,37.5111,127.0981,송파구,21002
20230121,37.528,126.8619,양천구,109878
20230121,37.5513,126.9882,용산구,453
20230121,37.6525,126.9479,은평구,3310
20230121,37.5776,126.9769,종로구,5548
20230121,37.5656,126.9749,중구,63474
20230121,37.5898,127.0708,중랑구,54468
20230122,37.5091,127.0489,강남구,68072
20230122,37.5612,127.1321,강동구,79374
20230122,37.6589,127.009,강북구,77197
20230122,37.5694,126.835,강서구,39844
20230122,37.4445,126.9639,관악구,24676
20230122,37.5515,127.0838,광진구,60361
20230122,37.484,126.8254,구로구,113284
20230122,37.4513,126.9246,금천구,75566
20230122,37.6789,127.0607,노원구,48731
